 NPOZ,NLIM,MEAN1,MEAN2,P,B,M1DM2,NLIM1,B1,N100MB,PN,PP,BPN,BPP,UNK1,UNK2
   36 ,  2  ,     30.0000   ,      11.00,      153945,   8.55,    2.73,   2,   8.55,  91.45,   1575,   1576620,   0.09,  91.36,     10000,      8759
   36 ,  2  ,     40.0000   ,      11.00,      184040,  10.22,    3.64,   2,  10.22,  89.78,   2080,   1545300,   0.12,  89.65,     10000,      8585
   36 ,  2  ,     50.0000   ,      11.00,      228830,  12.71,    4.55,   2,  12.71,  87.29,   2830,   1504800,   0.16,  87.12,     10000,      8360
   36 ,  2  ,     60.0000   ,      11.00,      255745,  14.21,    5.45,   2,  14.21,  85.79,   3275,   1478700,   0.19,  85.60,     10000,      8215
   36 ,  2  ,     70.0000   ,      11.00,      298700,  16.59,    6.36,   2,  16.59,  83.41,   4060,   1431000,   0.24,  83.17,     10000,      7950
   36 ,  2  ,     80.0000   ,      11.00,      332370,  18.47,    7.27,   2,  18.47,  81.54,   4410,   1403100,   0.26,  81.28,     10000,      7795
   36 ,  2  ,     90.0000   ,      11.00,      347800,  19.32,    8.18,   2,  19.32,  80.68,   4100,   1389600,   0.24,  80.44,     10000,      7720
   36 ,  2  ,    100.0000   ,      11.00,      368590,  20.48,    9.09,   2,  20.48,  79.52,   4550,   1365480,   0.26,  79.26,     10000,      7586
   36 ,  2  ,     10.0000   ,      13.00,       69395,   3.86,    0.77,   2,   3.86,  96.14,    265,   1671660,   0.02,  96.13,     10000,      9287
   36 ,  2  ,     20.0000   ,      13.00,      100345,   5.57,    1.54,   2,   5.57,  94.43,    815,   1636740,   0.05,  94.38,     10000,      9093
   36 ,  2  ,     30.0000   ,      13.00,      126360,   7.02,    2.31,   2,   7.02,  92.98,   1260,   1615860,   0.07,  92.91,     10000,      8977
   36 ,  2  ,     40.0000   ,      13.00,      153265,   8.51,    3.08,   2,   8.51,  91.49,   1715,   1589040,   0.10,  91.39,     10000,      8828
